          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0

 COROT EXO           28    0.206 (0.0807)    0.356  0.225 (0.0195)   -0.131  0.562 (0.0088)
 Geneva         U    29    0.263 (0.0827)    0.421  0.236 (0.0170)   -0.091  0.591 (0.0056)
                B    30    0.239 (0.0913)    0.411  0.258 (0.0203)   -0.147  0.644 (0.0079)
                B1   31    0.240 (0.0919)    0.413  0.260 (0.0204)   -0.150  0.649 (0.0079)
                B2   32    0.236 (0.0898)    0.405  0.253 (0.0202)   -0.143  0.632 (0.0081)
                V    33    0.205 (0.0815)    0.356  0.227 (0.0198)   -0.136  0.567 (0.0089)
                V1   34    0.207 (0.0821)    0.359  0.229 (0.0198)   -0.136  0.572 (0.0089)
                G    35    0.192 (0.0787)    0.338  0.218 (0.0196)   -0.136  0.546 (0.0091)
 Vilnius        U    36    0.265 (0.0829)    0.423  0.237 (0.0169)   -0.091  0.593 (0.0055)
                P    37    0.237 (0.0838)    0.394  0.236 (0.0190)   -0.117  0.590 (0.0077)
                X    38    0.242 (0.0930)    0.418  0.263 (0.0203)   -0.152  0.658 (0.0077)
                Y    39    0.231 (0.0884)    0.397  0.248 (0.0202)   -0.141  0.621 (0.0082)
                Z    40    0.214 (0.0838)    0.370  0.234 (0.0200)   -0.137  0.585 (0.0087)
                V    41    0.205 (0.0814)    0.356  0.227 (0.0198)   -0.135  0.566 (0.0090)
                S    42    0.171 (0.0709)    0.301  0.194 (0.0190)   -0.119  0.484 (0.0098)
 Milone         iz   43    0.127 (0.0562)    0.227  0.150 (0.0167)   -0.098  0.375 (0.0096)
                iJ   44    0.110 (0.0490)    0.198  0.131 (0.0148)   -0.085  0.326 (0.0086)
                iH   45    0.089 (0.0393)    0.158  0.103 (0.0126)   -0.066  0.258 (0.0077)
                iK   46    0.071 (0.0320)    0.127  0.083 (0.0107)   -0.054  0.208 (0.0068)
 YMS94         iz    47    0.127 (0.0562)    0.227  0.150 (0.0167)   -0.098  0.375 (0.0096)
               iJ    48    0.110 (0.0490)    0.198  0.131 (0.0148)   -0.085  0.326 (0.0086)
               iH    49    0.089 (0.0393)    0.158  0.103 (0.0126)   -0.066  0.258 (0.0077)
               iK    50    0.071 (0.0320)    0.127  0.083 (0.0107)   -0.054  0.208 (0.0068)
               iL    51    0.052 (0.0211)    0.086  0.051 (0.0084)   -0.025  0.127 (0.0060)
               iLp   52    0.046 (0.0206)    0.080  0.051 (0.0078)   -0.031  0.129 (0.0053)
               iM    53    0.037 (0.0177)    0.066  0.044 (0.0068)   -0.029  0.109 (0.0048)
               in    54    0.024 (0.0133)    0.047  0.034 (0.0044)   -0.027  0.086 (0.0027)
               iN    55    0.023 (0.0124)    0.045  0.033 (0.0039)   -0.026  0.081 (0.0024)
 Sloan DSS      u    56    0.259 (0.0834)    0.417  0.238 (0.0175)   -0.098  0.594 (0.0061)
                g    57    0.229 (0.0879)    0.393  0.247 (0.0202)   -0.141  0.617 (0.0083)
                r    58    0.184 (0.0750)    0.321  0.207 (0.0193)   -0.126  0.516 (0.0094)
                i    59    0.157 (0.0644)    0.273  0.175 (0.0177)   -0.106  0.437 (0.0094)
                z    60    0.133 (0.0586)    0.238  0.158 (0.0171)   -0.103  0.394 (0.0097)
 HST STIS Ly_alpha   61    0.545 (0.0832)    0.732  0.280 (0.0088)    0.124  0.701 (0.0220)
            Fclear   62    0.516 (0.0908)    0.716  0.300 (0.0060)    0.066  0.750 (0.0199)
             Fsrf2   63    0.496 (0.0956)    0.704  0.312 (0.0043)    0.028  0.780 (0.0182)
              Fqtz   64    0.469 (0.1003)    0.683  0.322 (0.0031)   -0.014  0.805 (0.0154)
              CIII   65    0.405 (0.1042)    0.620  0.322 (0.0080)   -0.078  0.806 (0.0080)
              MgII   66    0.318 (0.0918)    0.497  0.269 (0.0153)   -0.086  0.673 (0.0023)
            Nclear   67    0.441 (0.0966)    0.645  0.305 (0.0041)   -0.017  0.764 (0.0115)
             Nsrf2   68    0.416 (0.0991)    0.621  0.309 (0.0066)   -0.047  0.771 (0.0088)
              Nqtz   69    0.405 (0.0996)    0.611  0.308 (0.0078)   -0.057  0.771 (0.0075)
             cn182   70    0.437 (0.1010)    0.649  0.318 (0.0048)   -0.041  0.796 (0.0115)
             cn270   71    0.330 (0.0930)    0.513  0.274 (0.0147)   -0.081  0.686 (0.0016)
            Oclear   72    0.235 (0.0835)    0.393  0.236 (0.0184)   -0.119  0.590 (0.0070)
         Oclear-lp   73    0.170 (0.0701)    0.298  0.192 (0.0186)   -0.118  0.480 (0.0095)
             [OII]   74    0.226 (0.0781)    0.371  0.217 (0.0195)   -0.099  0.542 (0.0091)
            [OIII]   75    0.218 (0.0829)    0.371  0.229 (0.0205)   -0.126  0.573 (0.0095)
 2MASS          J    76    0.112 (0.0495)    0.200  0.132 (0.0149)   -0.086  0.331 (0.0087)
 2MASS          H    77    0.089 (0.0392)    0.158  0.103 (0.0125)   -0.066  0.258 (0.0077)
 2MASS          Ks   78    0.073 (0.0327)    0.130  0.085 (0.0108)   -0.055  0.213 (0.0068)
 SWASP               79    0.214 (0.0837)    0.370  0.234 (0.0199)   -0.136  0.585 (0.0087)
 MOST                80    0.211 (0.0828)    0.365  0.231 (0.0198)   -0.135  0.577 (0.0087)
 GAIA (2006)    G    81    0.212 (0.0820)    0.364  0.229 (0.0196)   -0.132  0.572 (0.0086)
 GAIA (2010)    G    82    0.205 (0.0802)    0.354  0.223 (0.0194)   -0.130  0.558 (0.0087)
 GAIA (2010)    BP   83    0.220 (0.0843)    0.377  0.236 (0.0198)   -0.135  0.590 (0.0084)
 GAIA (2010)    RP   84    0.156 (0.0647)    0.273  0.175 (0.0179)   -0.107  0.439 (0.0096)
 GAIA (2010)  G_RV   85    0.136 (0.0571)    0.239  0.154 (0.0165)   -0.096  0.386 (0.0092)
 Milone        230   86    0.375 (0.0978)    0.572  0.296 (0.0116)   -0.069  0.739 (0.0029)
               250   87    0.350 (0.0956)    0.541  0.285 (0.0133)   -0.078  0.714 (0.0007)
               270   88    0.329 (0.0929)    0.511  0.273 (0.0149)   -0.081  0.683 (0.0017)
               290   89    0.309 (0.0906)    0.485  0.265 (0.0156)   -0.088  0.662 (0.0029)
               310   90    0.291 (0.0874)    0.459  0.253 (0.0164)   -0.088  0.632 (0.0042)
               330   91    0.274 (0.0848)    0.436  0.243 (0.0168)   -0.091  0.609 (0.0051)
 CaII triplet  858   92    0.136 (0.0563)    0.237  0.152 (0.0162)   -0.092  0.380 (0.0091)
 WIRE  Johnson V+R   93    0.189 (0.0761)    0.329  0.210 (0.0193)   -0.126  0.526 (0.0092)
               LUT   94    0.318 (0.0915)    0.497  0.269 (0.0150)   -0.085  0.672 (0.0021)
              TESS   95    0.162 (0.0671)    0.284  0.183 (0.0183)   -0.112  0.457 (0.0096)


          Teff = 33000 K,  log g = 5.0,  [M/H] = -5.0

 bolometric           0    0.515 (0.0902)    0.709  0.290 (0.0027)    0.080  0.726 (0.0142)
 Stromgren      u     1    0.257 (0.0785)    0.407  0.225 (0.0158)   -0.081  0.562 (0.0050)
                v     2    0.234 (0.0866)    0.397  0.245 (0.0192)   -0.133  0.611 (0.0074)
                b     3    0.224 (0.0822)    0.378  0.231 (0.0186)   -0.122  0.578 (0.0075)
                y     4    0.198 (0.0746)    0.337  0.209 (0.0174)   -0.116  0.523 (0.0074)
 Johnson        U     5    0.243 (0.0789)    0.393  0.224 (0.0168)   -0.093  0.561 (0.0060)
                B     6    0.228 (0.0843)    0.386  0.237 (0.0190)   -0.128  0.593 (0.0076)
                V     7    0.199 (0.0747)    0.338  0.209 (0.0175)   -0.115  0.523 (0.0075)
                R     8    0.169 (0.0643)    0.288  0.178 (0.0159)   -0.099  0.446 (0.0073)
                I     9    0.138 (0.0537)    0.236  0.148 (0.0138)   -0.084  0.370 (0.0068)
                J    10    0.110 (0.0442)    0.191  0.121 (0.0118)   -0.072  0.303 (0.0060)
                K    11    0.073 (0.0285)    0.124  0.077 (0.0082)   -0.043  0.192 (0.0046)
                L    12    0.053 (0.0199)    0.087  0.052 (0.0066)   -0.025  0.129 (0.0041)
                M    13    0.039 (0.0162)    0.067  0.042 (0.0054)   -0.024  0.105 (0.0034)
                N    14    0.025 (0.0119)    0.046  0.032 (0.0035)   -0.023  0.079 (0.0020)
 Cousins        Rc   15    0.174 (0.0664)    0.297  0.184 (0.0162)   -0.103  0.461 (0.0074)
                Ic   16    0.148 (0.0562)    0.251  0.155 (0.0142)   -0.085  0.388 (0.0068)
 Bessell        UX   17    0.248 (0.0792)    0.399  0.226 (0.0166)   -0.091  0.564 (0.0057)
 Bessell        BX   18    0.228 (0.0842)    0.385  0.237 (0.0190)   -0.128  0.592 (0.0076)
 Bessell        B    19    0.228 (0.0843)    0.386  0.237 (0.0190)   -0.128  0.593 (0.0076)
 Bessell        V    20    0.199 (0.0747)    0.338  0.209 (0.0175)   -0.115  0.523 (0.0075)
 Bessell        R    21    0.174 (0.0664)    0.297  0.184 (0.0162)   -0.103  0.461 (0.0074)
 Bessell        I    22    0.145 (0.0554)    0.247  0.153 (0.0140)   -0.084  0.382 (0.0067)
 Tycho         TyB   23    0.230 (0.0844)    0.388  0.238 (0.0190)   -0.127  0.594 (0.0076)
               TyV   24    0.203 (0.0762)    0.345  0.213 (0.0178)   -0.117  0.533 (0.0076)
 Hipparchos    HIP   25    0.217 (0.0799)    0.366  0.224 (0.0183)   -0.120  0.561 (0.0075)
 KEPLER              26    0.195 (0.0731)    0.331  0.204 (0.0173)   -0.111  0.511 (0.0075)
 COROT SIS           27    0.201 (0.0746)    0.340  0.209 (0.0174)   -0.113  0.522 (0.0074)
 COROT EXO           28    0.199 (0.0741)    0.337  0.207 (0.0174)   -0.112  0.519 (0.0074)
 Geneva         U    29    0.259 (0.0790)    0.410  0.226 (0.0159)   -0.081  0.566 (0.0050)
                B    30    0.229 (0.0847)    0.388  0.239 (0.0191)   -0.129  0.597 (0.0076)
                B1   31    0.228 (0.0851)    0.388  0.240 (0.0192)   -0.132  0.599 (0.0077)
                B2   32    0.228 (0.0835)    0.385  0.235 (0.0189)   -0.124  0.587 (0.0076)
                V    33    0.199 (0.0748)    0.338  0.209 (0.0175)   -0.115  0.524 (0.0074)
                V1   34    0.201 (0.0754)    0.342  0.211 (0.0175)   -0.116  0.528 (0.0074)
                G    35    0.187 (0.0717)    0.321  0.201 (0.0170)   -0.114  0.501 (0.0074)
 Vilnius        U    36    0.260 (0.0793)    0.412  0.227 (0.0159)   -0.081  0.568 (0.0049)
                P    37    0.231 (0.0772)    0.376  0.218 (0.0171)   -0.097  0.546 (0.0067)
                X    38    0.230 (0.0866)    0.393  0.245 (0.0193)   -0.137  0.611 (0.0076)
                Y    39    0.224 (0.0822)    0.378  0.231 (0.0186)   -0.122  0.578 (0.0075)
                Z    40    0.208 (0.0771)    0.352  0.216 (0.0179)   -0.116  0.540 (0.0075)
                V    41    0.199 (0.0748)    0.339  0.210 (0.0174)   -0.116  0.524 (0.0074)
                S    42    0.164 (0.0638)    0.282  0.176 (0.0160)   -0.100  0.441 (0.0076)
 Milone         iz   43    0.123 (0.0495)    0.213  0.135 (0.0133)   -0.080  0.338 (0.0068)
                iJ   44    0.107 (0.0431)    0.186  0.118 (0.0115)   -0.070  0.296 (0.0058)
                iH   45    0.087 (0.0344)    0.150  0.094 (0.0094)   -0.054  0.235 (0.0049)
                iK   46    0.070 (0.0278)    0.120  0.075 (0.0081)   -0.042  0.187 (0.0045)
 YMS94         iz    47    0.123 (0.0495)    0.213  0.135 (0.0133)   -0.080  0.338 (0.0068)
               iJ    48    0.107 (0.0431)    0.186  0.118 (0.0115)   -0.070  0.296 (0.0058)
               iH    49    0.087 (0.0344)    0.150  0.094 (0.0094)   -0.054  0.235 (0.0049)
               iK    50    0.070 (0.0278)    0.120  0.075 (0.0081)   -0.042  0.187 (0.0045)
               iL    51    0.052 (0.0185)    0.083  0.046 (0.0066)   -0.018  0.116 (0.0044)
               iLp   52    0.046 (0.0181)    0.077  0.047 (0.0060)   -0.024  0.117 (0.0038)
               iM    53    0.037 (0.0154)    0.063  0.039 (0.0053)   -0.023  0.098 (0.0034)
               in    54    0.025 (0.0120)    0.046  0.032 (0.0036)   -0.023  0.080 (0.0020)
               iN    55    0.023 (0.0114)    0.044  0.030 (0.0033)   -0.022  0.076 (0.0018)
 Sloan DSS      u    56    0.254 (0.0791)    0.405  0.226 (0.0162)   -0.085  0.565 (0.0054)
                g    57    0.220 (0.0814)    0.373  0.229 (0.0186)   -0.123  0.572 (0.0076)
                r    58    0.178 (0.0680)    0.304  0.189 (0.0165)   -0.106  0.473 (0.0074)
                i    59    0.152 (0.0579)    0.259  0.160 (0.0146)   -0.088  0.400 (0.0069)
                z    60    0.129 (0.0515)    0.223  0.142 (0.0135)   -0.084  0.354 (0.0067)
 HST STIS Ly_alpha   61    0.550 (0.1002)    0.770  0.331 (0.0065)    0.054  0.827 (0.0216)
            Fclear   62    0.523 (0.1048)    0.749  0.340 (0.0038)    0.012  0.851 (0.0186)
             Fsrf2   63    0.503 (0.1075)    0.733  0.345 (0.0032)   -0.014  0.863 (0.0163)
              Fqtz   64    0.477 (0.1089)    0.706  0.344 (0.0050)   -0.038  0.859 (0.0126)
              CIII   65    0.412 (0.1068)    0.629  0.326 (0.0110)   -0.077  0.815 (0.0051)
              MgII   66    0.315 (0.0897)    0.490  0.261 (0.0158)   -0.077  0.653 (0.0032)
            Nclear   67    0.447 (0.1035)    0.663  0.323 (0.0065)   -0.038  0.808 (0.0096)
             Nsrf2   68    0.421 (0.1035)    0.634  0.318 (0.0092)   -0.056  0.796 (0.0065)
              Nqtz   69    0.410 (0.1030)    0.620  0.315 (0.0103)   -0.062  0.787 (0.0051)
             cn182   70    0.444 (0.1068)    0.666  0.332 (0.0077)   -0.054  0.830 (0.0088)
             cn270   71    0.328 (0.0914)    0.506  0.267 (0.0156)   -0.073  0.668 (0.0027)
            Oclear   72    0.229 (0.0780)    0.377  0.221 (0.0169)   -0.103  0.553 (0.0063)
         Oclear-lp   73    0.165 (0.0632)    0.282  0.175 (0.0156)   -0.098  0.438 (0.0072)
             [OII]   74    0.228 (0.0700)    0.359  0.198 (0.0158)   -0.069  0.494 (0.0064)
            [OIII]   75    0.209 (0.0774)    0.353  0.217 (0.0180)   -0.117  0.542 (0.0076)
 2MASS          J    76    0.109 (0.0437)    0.189  0.120 (0.0116)   -0.071  0.299 (0.0059)
 2MASS          H    77    0.087 (0.0343)    0.150  0.094 (0.0094)   -0.053  0.234 (0.0049)
 2MASS          Ks   78    0.072 (0.0285)    0.124  0.077 (0.0081)   -0.043  0.192 (0.0045)
 SWASP               79    0.207 (0.0772)    0.351  0.216 (0.0179)   -0.117  0.541 (0.0075)
 MOST                80    0.204 (0.0762)    0.347  0.213 (0.0178)   -0.116  0.533 (0.0075)
 GAIA (2006)    G    81    0.205 (0.0755)    0.346  0.212 (0.0175)   -0.113  0.529 (0.0074)
 GAIA (2010)    G    82    0.198 (0.0737)    0.336  0.206 (0.0172)   -0.111  0.515 (0.0074)
 GAIA (2010)    BP   83    0.212 (0.0779)    0.358  0.219 (0.0179)   -0.116  0.547 (0.0074)
 GAIA (2010)    RP   84    0.151 (0.0579)    0.258  0.160 (0.0147)   -0.089  0.399 (0.0071)
 GAIA (2010)  G_RV   85    0.134 (0.0506)    0.227  0.140 (0.0127)   -0.077  0.351 (0.0060)
 Milone        230   86    0.376 (0.0981)    0.571  0.292 (0.0138)   -0.063  0.731 (0.0007)
               250   87    0.350 (0.0948)    0.536  0.280 (0.0149)   -0.070  0.699 (0.0014)
               270   88    0.327 (0.0912)    0.504  0.266 (0.0157)   -0.072  0.666 (0.0029)
               290   89    0.306 (0.0882)    0.477  0.256 (0.0159)   -0.078  0.641 (0.0035)
               310   90    0.287 (0.0844)    0.450  0.243 (0.0161)   -0.078  0.608 (0.0044)
               330   91    0.269 (0.0817)    0.426  0.235 (0.0159)   -0.083  0.588 (0.0046)
 CaII triplet  858   92    0.135 (0.0500)    0.228  0.139 (0.0124)   -0.074  0.348 (0.0058)
 WIRE  Johnson V+R   93    0.183 (0.0693)    0.312  0.193 (0.0166)   -0.107  0.483 (0.0074)
               LUT   94    0.316 (0.0895)    0.490  0.261 (0.0156)   -0.076  0.653 (0.0030)
              TESS   95    0.157 (0.0603)    0.268  0.167 (0.0151)   -0.093  0.417 (0.0072)


          Teff = 34000 K,  log g = 4.0,  [M/H] = -5.0

 bolometric           0    0.520 (0.0587)    0.645  0.188 (0.0016)    0.238  0.470 (0.0081)
 Stromgren      u     1    0.255 (0.0919)    0.430  0.262 (0.0194)   -0.137  0.654 (0.0068)
                v     2    0.248 (0.1029)    0.444  0.293 (0.0213)   -0.191  0.732 (0.0072)
                b     3    0.231 (0.0999)    0.419  0.281 (0.0223)   -0.191  0.703 (0.0088)
                y     4    0.206 (0.0937)    0.379  0.259 (0.0234)   -0.183  0.648 (0.0110)
 Johnson        U     5    0.248 (0.0948)    0.427  0.269 (0.0204)   -0.156  0.672 (0.0075)
                B     6    0.241 (0.1016)    0.432  0.288 (0.0218)   -0.191  0.719 (0.0079)
                V     7    0.206 (0.0940)    0.380  0.260 (0.0234)   -0.184  0.651 (0.0110)
                R     8    0.177 (0.0840)    0.328  0.227 (0.0238)   -0.163  0.567 (0.0130)
                I     9    0.145 (0.0734)    0.274  0.193 (0.0236)   -0.144  0.482 (0.0144)
                J    10    0.116 (0.0621)    0.222  0.159 (0.0217)   -0.123  0.398 (0.0142)
                K    11    0.072 (0.0417)    0.140  0.102 (0.0166)   -0.082  0.256 (0.0118)
                L    12    0.050 (0.0294)    0.096  0.069 (0.0129)   -0.054  0.173 (0.0096)
                M    13    0.035 (0.0236)    0.073  0.056 (0.0101)   -0.049  0.140 (0.0074)
                N    14    0.023 (0.0159)    0.049  0.040 (0.0059)   -0.037  0.100 (0.0040)
 Cousins        Rc   15    0.181 (0.0862)    0.337  0.234 (0.0240)   -0.169  0.585 (0.0128)
                Ic   16    0.154 (0.0753)    0.287  0.199 (0.0234)   -0.145  0.498 (0.0140)
 Bessell        UX   17    0.251 (0.0944)    0.430  0.268 (0.0201)   -0.151  0.671 (0.0072)
 Bessell        BX   18    0.240 (0.1015)    0.432  0.287 (0.0218)   -0.191  0.718 (0.0080)
 Bessell        B    19    0.241 (0.1016)    0.432  0.288 (0.0218)   -0.191  0.719 (0.0079)
 Bessell        V    20    0.206 (0.0940)    0.379  0.260 (0.0234)   -0.184  0.650 (0.0110)
 Bessell        R    21    0.181 (0.0862)    0.337  0.234 (0.0239)   -0.169  0.584 (0.0128)
 Bessell        I    22    0.152 (0.0748)    0.283  0.197 (0.0235)   -0.145  0.493 (0.0141)
 Tycho         TyB   23    0.243 (0.1017)    0.436  0.289 (0.0216)   -0.190  0.722 (0.0077)
               TyV   24    0.212 (0.0953)    0.388  0.265 (0.0233)   -0.185  0.662 (0.0106)
 Hipparchos    HIP   25    0.227 (0.0979)    0.410  0.275 (0.0224)   -0.185  0.688 (0.0091)
 KEPLER              26    0.203 (0.0920)    0.373  0.254 (0.0232)   -0.178  0.636 (0.0110)
 COROT SIS           27    0.210 (0.0932)    0.382  0.259 (0.0229)   -0.178  0.647 (0.0105)
 COROT EXO           28    0.208 (0.0928)    0.380  0.257 (0.0229)   -0.178  0.643 (0.0106)
 Geneva         U    29    0.257 (0.0924)    0.433  0.263 (0.0193)   -0.138  0.658 (0.0067)
                B    30    0.243 (0.1021)    0.436  0.290 (0.0217)   -0.192  0.724 (0.0077)
                B1   31    0.245 (0.1027)    0.440  0.292 (0.0215)   -0.193  0.730 (0.0075)
                B2   32    0.238 (0.1009)    0.428  0.285 (0.0220)   -0.190  0.713 (0.0083)
                V    33    0.206 (0.0940)    0.379  0.260 (0.0234)   -0.185  0.651 (0.0110)
                V1   34    0.208 (0.0945)    0.383  0.262 (0.0233)   -0.185  0.655 (0.0108)
                G    35    0.192 (0.0916)    0.360  0.251 (0.0240)   -0.185  0.628 (0.0120)
 Vilnius        U    36    0.258 (0.0924)    0.434  0.264 (0.0192)   -0.137  0.659 (0.0065)
                P    37    0.238 (0.0957)    0.418  0.270 (0.0214)   -0.166  0.675 (0.0085)
                X    38    0.248 (0.1032)    0.444  0.294 (0.0214)   -0.193  0.735 (0.0072)
                Y    39    0.232 (0.0999)    0.419  0.281 (0.0223)   -0.190  0.703 (0.0088)
                Z    40    0.216 (0.0961)    0.395  0.268 (0.0230)   -0.186  0.670 (0.0102)
                V    41    0.207 (0.0939)    0.380  0.260 (0.0234)   -0.183  0.650 (0.0109)
                S    42    0.177 (0.0840)    0.328  0.227 (0.0240)   -0.163  0.566 (0.0132)
 Milone         iz   43    0.131 (0.0688)    0.249  0.178 (0.0232)   -0.137  0.446 (0.0147)
                iJ   44    0.112 (0.0607)    0.216  0.155 (0.0214)   -0.121  0.389 (0.0141)
                iH   45    0.089 (0.0497)    0.171  0.123 (0.0192)   -0.096  0.309 (0.0134)
                iK   46    0.070 (0.0408)    0.136  0.100 (0.0164)   -0.080  0.250 (0.0117)
 YMS94         iz    47    0.131 (0.0688)    0.250  0.178 (0.0232)   -0.137  0.446 (0.0147)
               iJ    48    0.112 (0.0607)    0.216  0.155 (0.0214)   -0.121  0.389 (0.0141)
               iH    49    0.089 (0.0497)    0.171  0.123 (0.0192)   -0.096  0.309 (0.0134)
               iK    50    0.070 (0.0408)    0.136  0.100 (0.0164)   -0.080  0.250 (0.0117)
               iL    51    0.048 (0.0272)    0.090  0.062 (0.0123)   -0.046  0.156 (0.0094)
               iLp   52    0.043 (0.0265)    0.084  0.062 (0.0117)   -0.050  0.155 (0.0088)
               iM    53    0.034 (0.0231)    0.070  0.054 (0.0102)   -0.047  0.135 (0.0077)
               in    54    0.023 (0.0161)    0.050  0.040 (0.0060)   -0.038  0.101 (0.0041)
               iN    55    0.021 (0.0150)    0.047  0.038 (0.0054)   -0.036  0.095 (0.0036)
 Sloan DSS      u    56    0.254 (0.0935)    0.432  0.266 (0.0197)   -0.145  0.665 (0.0069)
                g    57    0.231 (0.0993)    0.417  0.279 (0.0223)   -0.188  0.699 (0.0089)
                r    58    0.186 (0.0879)    0.345  0.239 (0.0240)   -0.173  0.598 (0.0125)
                i    59    0.159 (0.0771)    0.296  0.205 (0.0235)   -0.148  0.513 (0.0138)
                z    60    0.137 (0.0720)    0.262  0.188 (0.0237)   -0.145  0.470 (0.0148)
 HST STIS Ly_alpha   61    0.529 (0.0655)    0.677  0.221 (0.0059)    0.197  0.554 (0.0165)
            Fclear   62    0.499 (0.0751)    0.665  0.249 (0.0041)    0.127  0.622 (0.0158)
             Fsrf2   63    0.479 (0.0814)    0.656  0.266 (0.0030)    0.080  0.665 (0.0151)
              Fqtz   64    0.450 (0.0889)    0.640  0.285 (0.0025)    0.022  0.713 (0.0135)
              CIII   65    0.383 (0.1007)    0.591  0.312 (0.0076)   -0.084  0.779 (0.0081)
              MgII   66    0.305 (0.0982)    0.498  0.289 (0.0157)   -0.128  0.722 (0.0018)
            Nclear   67    0.420 (0.0897)    0.609  0.283 (0.0043)   -0.004  0.707 (0.0099)
             Nsrf2   68    0.395 (0.0947)    0.591  0.294 (0.0066)   -0.046  0.736 (0.0081)
              Nqtz   69    0.385 (0.0964)    0.584  0.298 (0.0076)   -0.062  0.745 (0.0073)
             cn182   70    0.416 (0.0940)    0.613  0.296 (0.0046)   -0.028  0.740 (0.0105)
             cn270   71    0.316 (0.0987)    0.511  0.292 (0.0148)   -0.122  0.730 (0.0010)
            Oclear   72    0.234 (0.0940)    0.411  0.265 (0.0209)   -0.164  0.663 (0.0082)
         Oclear-lp   73    0.172 (0.0830)    0.321  0.224 (0.0239)   -0.163  0.559 (0.0132)
             [OII]   74    0.226 (0.0937)    0.399  0.259 (0.0234)   -0.163  0.648 (0.0110)
            [OIII]   75    0.218 (0.0956)    0.395  0.266 (0.0230)   -0.180  0.665 (0.0103)
 2MASS          J    76    0.114 (0.0613)    0.219  0.157 (0.0215)   -0.122  0.393 (0.0141)
 2MASS          H    77    0.089 (0.0496)    0.171  0.123 (0.0191)   -0.097  0.309 (0.0133)
 2MASS          Ks   78    0.071 (0.0415)    0.139  0.102 (0.0166)   -0.082  0.255 (0.0118)
 SWASP               79    0.216 (0.0957)    0.394  0.267 (0.0229)   -0.184  0.667 (0.0101)
 MOST                80    0.213 (0.0948)    0.389  0.264 (0.0229)   -0.182  0.659 (0.0103)
 GAIA (2006)    G    81    0.214 (0.0939)    0.388  0.261 (0.0227)   -0.178  0.653 (0.0102)
 GAIA (2010)    G    82    0.207 (0.0922)    0.377  0.256 (0.0229)   -0.176  0.639 (0.0107)
 GAIA (2010)    BP   83    0.221 (0.0961)    0.401  0.269 (0.0225)   -0.181  0.672 (0.0096)
 GAIA (2010)    RP   84    0.159 (0.0777)    0.297  0.206 (0.0237)   -0.150  0.516 (0.0139)
 GAIA (2010)  G_RV   85    0.138 (0.0709)    0.261  0.185 (0.0235)   -0.139  0.462 (0.0148)
 Milone        230   86    0.356 (0.0995)    0.557  0.302 (0.0108)   -0.097  0.755 (0.0041)
               250   87    0.334 (0.0997)    0.533  0.299 (0.0129)   -0.115  0.748 (0.0019)
               270   88    0.315 (0.0985)    0.509  0.291 (0.0150)   -0.122  0.728 (0.0012)
               290   89    0.297 (0.0976)    0.488  0.286 (0.0163)   -0.132  0.715 (0.0025)
               310   90    0.282 (0.0958)    0.467  0.278 (0.0176)   -0.135  0.694 (0.0042)
               330   91    0.266 (0.0938)    0.446  0.269 (0.0187)   -0.137  0.673 (0.0058)
 CaII triplet  858   92    0.137 (0.0700)    0.259  0.182 (0.0234)   -0.136  0.455 (0.0148)
 WIRE  Johnson V+R   93    0.191 (0.0888)    0.353  0.243 (0.0236)   -0.173  0.607 (0.0120)
               LUT   94    0.306 (0.0977)    0.498  0.288 (0.0155)   -0.126  0.719 (0.0017)
              TESS   95    0.166 (0.0800)    0.309  0.214 (0.0237)   -0.155  0.535 (0.0136)


          Teff = 34000 K,  log g = 4.5,  [M/H] = -5.0

 bolometric           0    0.505 (0.0742)    0.664  0.238 (0.0023)    0.148  0.595 (0.0113)
 Stromgren      u     1    0.250 (0.0823)    0.406  0.235 (0.0171)   -0.103  0.588 (0.0058)
                v     2    0.234 (0.0929)    0.409  0.262 (0.0205)   -0.160  0.656 (0.0079)
                b     3    0.221 (0.0884)    0.386  0.248 (0.0204)   -0.151  0.620 (0.0085)
                y     4    0.197 (0.0806)    0.346  0.224 (0.0200)   -0.139  0.559 (0.0093)
 Johnson        U     5    0.239 (0.0842)    0.398  0.239 (0.0184)   -0.119  0.596 (0.0070)
                B     6    0.227 (0.0908)    0.398  0.255 (0.0205)   -0.156  0.639 (0.0083)
                V     7    0.197 (0.0810)    0.347  0.225 (0.0200)   -0.141  0.563 (0.0093)
                R     8    0.168 (0.0703)    0.296  0.192 (0.0191)   -0.120  0.479 (0.0099)
                I     9    0.137 (0.0594)    0.243  0.159 (0.0176)   -0.102  0.398 (0.0100)
                J    10    0.108 (0.0490)    0.195  0.130 (0.0154)   -0.086  0.324 (0.0093)
                K    11    0.069 (0.0318)    0.123  0.082 (0.0112)   -0.054  0.204 (0.0073)
                L    12    0.049 (0.0222)    0.085  0.054 (0.0088)   -0.032  0.135 (0.0063)
                M    13    0.035 (0.0181)    0.065  0.045 (0.0070)   -0.032  0.112 (0.0048)
                N    14    0.022 (0.0128)    0.044  0.033 (0.0043)   -0.027  0.083 (0.0027)
 Cousins        Rc   15    0.172 (0.0725)    0.304  0.198 (0.0194)   -0.126  0.496 (0.0099)
                Ic   16    0.146 (0.0616)    0.257  0.166 (0.0177)   -0.103  0.415 (0.0098)
